channel,month_start,spend_usd
google_ads,2025-01-01,7000.00
google_ads,2025-02-01,7525.00
google_ads,2025-03-01,7909.33
google_ads,2025-04-01,8050.00
google_ads,2025-05-01,7909.33
google_ads,2025-06-01,7525.00
google_ads,2025-07-01,7000.00
google_ads,2025-08-01,6475.00
google_ads,2025-09-01,6090.67
google_ads,2025-10-01,5950.00
google_ads,2025-11-01,6090.67
google_ads,2025-12-01,6475.00
google_ads,2026-01-01,7000.00
google_ads,2026-02-01,7525.00
google_ads,2026-03-01,7909.33
google_ads,2026-04-01,8050.00
google_ads,2026-05-01,7909.33
google_ads,2026-06-01,7525.00
instagram_meta,2025-01-01,6000.00
instagram_meta,2025-02-01,6450.00
instagram_meta,2025-03-01,6779.42
instagram_meta,2025-04-01,6900.00
instagram_meta,2025-05-01,6779.42
instagram_meta,2025-06-01,6450.00
instagram_meta,2025-07-01,6000.00
instagram_meta,2025-08-01,5550.00
instagram_meta,2025-09-01,5220.58
instagram_meta,2025-10-01,5100.00
instagram_meta,2025-11-01,5220.58
instagram_meta,2025-12-01,5550.00
instagram_meta,2026-01-01,6000.00
instagram_meta,2026-02-01,6450.00
instagram_meta,2026-03-01,6779.42
instagram_meta,2026-04-01,6900.00
instagram_meta,2026-05-01,6779.42
instagram_meta,2026-06-01,6450.00
referral,2025-01-01,0.00
referral,2025-02-01,0.00
referral,2025-03-01,0.00
referral,2025-04-01,0.00
referral,2025-05-01,0.00
referral,2025-06-01,0.00
referral,2025-07-01,0.00
referral,2025-08-01,0.00
referral,2025-09-01,0.00
referral,2025-10-01,0.00
referral,2025-11-01,0.00
referral,2025-12-01,0.00
referral,2026-01-01,0.00
referral,2026-02-01,0.00
referral,2026-03-01,0.00
referral,2026-04-01,0.00
referral,2026-05-01,0.00
referral,2026-06-01,0.00
realself,2025-01-01,1500.00
realself,2025-02-01,1612.50
realself,2025-03-01,1694.86
realself,2025-04-01,1725.00
realself,2025-05-01,1694.86
realself,2025-06-01,1612.50
realself,2025-07-01,1500.00
realself,2025-08-01,1387.50
realself,2025-09-01,1305.14
realself,2025-10-01,1275.00
realself,2025-11-01,1305.14
realself,2025-12-01,1387.50
realself,2026-01-01,1500.00
realself,2026-02-01,1612.50
realself,2026-03-01,1694.86
realself,2026-04-01,1725.00
realself,2026-05-01,1694.86
realself,2026-06-01,1612.50
alle_directory,2025-01-01,0.00
alle_directory,2025-02-01,0.00
alle_directory,2025-03-01,0.00
alle_directory,2025-04-01,0.00
alle_directory,2025-05-01,0.00
alle_directory,2025-06-01,0.00
alle_directory,2025-07-01,0.00
alle_directory,2025-08-01,0.00
alle_directory,2025-09-01,0.00
alle_directory,2025-10-01,0.00
alle_directory,2025-11-01,0.00
alle_directory,2025-12-01,0.00
alle_directory,2026-01-01,0.00
alle_directory,2026-02-01,0.00
alle_directory,2026-03-01,0.00
alle_directory,2026-04-01,0.00
alle_directory,2026-05-01,0.00
alle_directory,2026-06-01,0.00
walkin,2025-01-01,0.00
walkin,2025-02-01,0.00
walkin,2025-03-01,0.00
walkin,2025-04-01,0.00
walkin,2025-05-01,0.00
walkin,2025-06-01,0.00
walkin,2025-07-01,0.00
walkin,2025-08-01,0.00
walkin,2025-09-01,0.00
walkin,2025-10-01,0.00
walkin,2025-11-01,0.00
walkin,2025-12-01,0.00
walkin,2026-01-01,0.00
walkin,2026-02-01,0.00
walkin,2026-03-01,0.00
walkin,2026-04-01,0.00
walkin,2026-05-01,0.00
walkin,2026-06-01,0.00
other,2025-01-01,0.00
other,2025-02-01,0.00
other,2025-03-01,0.00
other,2025-04-01,0.00
other,2025-05-01,0.00
other,2025-06-01,0.00
other,2025-07-01,0.00
other,2025-08-01,0.00
other,2025-09-01,0.00
other,2025-10-01,0.00
other,2025-11-01,0.00
other,2025-12-01,0.00
other,2026-01-01,0.00
other,2026-02-01,0.00
other,2026-03-01,0.00
other,2026-04-01,0.00
other,2026-05-01,0.00
other,2026-06-01,0.00
